Hexa44 Power Supply (Chip 1): Agilent Technologies,E3648A,0,1.7-5.0-1.0
    Limits: Voltage=1.2200, Current=0.6000
Hexa48 Power Supply (Chip 4): Agilent Technologies,E3642A,0,1.6-5.0-1.0
    Limits: Voltage=1.2400, Current=0.6000
2023-08-05 10:05:11.418867 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26300, Power=0.32520
2023-08-05 10:05:14.313170 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26042, Power=0.31804
2023-08-05 10:05:14.313170 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26300, Power=0.32518
2023-08-05 10:05:17.206438 Hexa44 Chip 1 Power: On, Voltage=1.22129, Current=0.26042, Power=0.31805
2023-08-05 10:05:17.206438 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26303, Power=0.32521
2023-08-05 10:05:20.099331 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26036, Power=0.31795
2023-08-05 10:05:20.099331 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26304, Power=0.32522
2023-08-05 10:05:22.990829 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26034, Power=0.31791
2023-08-05 10:05:22.990829 Hexa48 Chip 4 Power: On, Voltage=1.23637, Current=0.26304, Power=0.32521
2023-08-05 10:05:25.885676 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26039, Power=0.31797
2023-08-05 10:05:25.885676 Hexa48 Chip 4 Power: On, Voltage=1.23630, Current=0.26303, Power=0.32519
2023-08-05 10:05:28.775317 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26040, Power=0.31800
2023-08-05 10:05:28.775317 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26300, Power=0.32517
2023-08-05 10:05:31.673772 Hexa44 Chip 1 Power: On, Voltage=1.22136, Current=0.26042, Power=0.31806
2023-08-05 10:05:31.673772 Hexa48 Chip 4 Power: On, Voltage=1.23630, Current=0.26300, Power=0.32515
2023-08-05 10:05:34.599027 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26040, Power=0.31798
2023-08-05 10:05:34.599027 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26301, Power=0.32522
2023-08-05 10:05:37.496326 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26043, Power=0.31804
2023-08-05 10:05:37.496326 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26306, Power=0.32528
2023-08-05 10:05:40.392115 Hexa44 Chip 1 Power: On, Voltage=1.22131, Current=0.26039, Power=0.31802
2023-08-05 10:05:40.392115 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26303, Power=0.32524
2023-08-05 10:05:43.279270 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26039, Power=0.31799
2023-08-05 10:05:43.279270 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26305, Power=0.32525
2023-08-05 10:05:46.171339 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26040, Power=0.31802
2023-08-05 10:05:46.171339 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26303, Power=0.32521
2023-08-05 10:05:49.059635 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26041, Power=0.31802
2023-08-05 10:05:49.059635 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26299, Power=0.32517
2023-08-05 10:05:52.003895 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26041, Power=0.31799
2023-08-05 10:05:52.003895 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26301, Power=0.32521
2023-08-05 10:05:54.903311 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26038, Power=0.31792
2023-08-05 10:05:54.903311 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26304, Power=0.32526
2023-08-05 10:05:57.858247 Hexa44 Chip 1 Power: On, Voltage=1.22099, Current=0.26033, Power=0.31786
2023-08-05 10:05:57.858247 Hexa48 Chip 4 Power: On, Voltage=1.23662, Current=0.26304, Power=0.32528
2023-08-05 10:06:00.747269 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26039, Power=0.31795
2023-08-05 10:06:00.747269 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26302, Power=0.32522
2023-08-05 10:06:03.636740 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26031, Power=0.31785
2023-08-05 10:06:03.636740 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26304, Power=0.32523
2023-08-05 10:06:06.527772 Hexa44 Chip 1 Power: On, Voltage=1.22104, Current=0.26035, Power=0.31790
2023-08-05 10:06:06.527772 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26301, Power=0.32523
2023-08-05 10:06:09.423606 Hexa44 Chip 1 Power: On, Voltage=1.22099, Current=0.26039, Power=0.31794
2023-08-05 10:06:09.423606 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26306, Power=0.32525
2023-08-05 10:06:12.315591 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26035, Power=0.31789
2023-08-05 10:06:12.315591 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26306, Power=0.32529
2023-08-05 10:06:15.207963 Hexa44 Chip 1 Power: On, Voltage=1.22097, Current=0.26035, Power=0.31788
2023-08-05 10:06:15.207963 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26305, Power=0.32527
2023-08-05 10:06:18.102191 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26031, Power=0.31784
2023-08-05 10:06:18.102191 Hexa48 Chip 4 Power: On, Voltage=1.23669, Current=0.26306, Power=0.32532
2023-08-05 10:06:20.998752 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26036, Power=0.31795
2023-08-05 10:06:20.998752 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26306, Power=0.32525
2023-08-05 10:06:23.892288 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26034, Power=0.31792
2023-08-05 10:06:23.892288 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26301, Power=0.32524
2023-08-05 10:06:26.784031 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26034, Power=0.31788
2023-08-05 10:06:26.784031 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26306, Power=0.32530
2023-08-05 10:06:29.676535 Hexa44 Chip 1 Power: On, Voltage=1.22097, Current=0.26036, Power=0.31790
2023-08-05 10:06:29.676535 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26303, Power=0.32524
2023-08-05 10:06:32.568047 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26036, Power=0.31790
2023-08-05 10:06:32.568047 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26305, Power=0.32527
2023-08-05 10:06:35.463460 Hexa44 Chip 1 Power: On, Voltage=1.22094, Current=0.26035, Power=0.31787
2023-08-05 10:06:35.463460 Hexa48 Chip 4 Power: On, Voltage=1.23664, Current=0.26305, Power=0.32530
2023-08-05 10:06:38.357252 Hexa44 Chip 1 Power: On, Voltage=1.22104, Current=0.26036, Power=0.31791
2023-08-05 10:06:38.357252 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26303, Power=0.32524
2023-08-05 10:06:41.249119 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26033, Power=0.31792
2023-08-05 10:06:41.249119 Hexa48 Chip 4 Power: On, Voltage=1.23657, Current=0.26303, Power=0.32525
2023-08-05 10:06:44.141854 Hexa44 Chip 1 Power: On, Voltage=1.22104, Current=0.26037, Power=0.31792
2023-08-05 10:06:44.141854 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26306, Power=0.32527
2023-08-05 10:06:47.031757 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26036, Power=0.31792
2023-08-05 10:06:47.031757 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26302, Power=0.32525
2023-08-05 10:06:49.923635 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26035, Power=0.31789
2023-08-05 10:06:49.923635 Hexa48 Chip 4 Power: On, Voltage=1.23669, Current=0.26305, Power=0.32531
2023-08-05 10:06:52.847652 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26028, Power=0.31781
2023-08-05 10:06:52.847652 Hexa48 Chip 4 Power: On, Voltage=1.23662, Current=0.26305, Power=0.32529
2023-08-05 10:06:55.742272 Hexa44 Chip 1 Power: On, Voltage=1.22139, Current=0.26039, Power=0.31804
2023-08-05 10:06:55.742272 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26300, Power=0.32517
2023-08-05 10:06:58.692796 Hexa44 Chip 1 Power: On, Voltage=1.22134, Current=0.26037, Power=0.31800
2023-08-05 10:06:58.692796 Hexa48 Chip 4 Power: On, Voltage=1.23637, Current=0.26301, Power=0.32518
2023-08-05 10:07:01.585626 Hexa44 Chip 1 Power: On, Voltage=1.22144, Current=0.26036, Power=0.31802
2023-08-05 10:07:01.585626 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26299, Power=0.32515
2023-08-05 10:07:04.476213 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26038, Power=0.31798
2023-08-05 10:07:04.476213 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26303, Power=0.32523
2023-08-05 10:07:07.371288 Hexa44 Chip 1 Power: On, Voltage=1.22114, Current=0.26037, Power=0.31795
2023-08-05 10:07:07.371288 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26301, Power=0.32517
2023-08-05 10:07:10.266852 Hexa44 Chip 1 Power: On, Voltage=1.22141, Current=0.26042, Power=0.31809
2023-08-05 10:07:10.266852 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26301, Power=0.32520
2023-08-05 10:07:13.161776 Hexa44 Chip 1 Power: On, Voltage=1.22129, Current=0.26036, Power=0.31797
2023-08-05 10:07:13.161776 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26303, Power=0.32520
2023-08-05 10:07:16.061018 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26036, Power=0.31794
2023-08-05 10:07:16.061018 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26301, Power=0.32520
2023-08-05 10:07:18.956257 Hexa44 Chip 1 Power: On, Voltage=1.22124, Current=0.26041, Power=0.31802
2023-08-05 10:07:18.956257 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26298, Power=0.32517
2023-08-05 10:07:21.858109 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26040, Power=0.31799
2023-08-05 10:07:21.858109 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26299, Power=0.32517
2023-08-05 10:07:24.769557 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26038, Power=0.31798
2023-08-05 10:07:24.769557 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26298, Power=0.32515
2023-08-05 10:07:27.659124 Hexa44 Chip 1 Power: On, Voltage=1.22124, Current=0.26037, Power=0.31797
2023-08-05 10:07:27.659124 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26299, Power=0.32515
2023-08-05 10:07:30.556425 Hexa44 Chip 1 Power: On, Voltage=1.22129, Current=0.26034, Power=0.31795
2023-08-05 10:07:30.556425 Hexa48 Chip 4 Power: On, Voltage=1.23630, Current=0.26299, Power=0.32513
2023-08-05 10:07:33.448755 Hexa44 Chip 1 Power: On, Voltage=1.22144, Current=0.26041, Power=0.31808
2023-08-05 10:07:33.448755 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26301, Power=0.32519
2023-08-05 10:07:36.343867 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26037, Power=0.31797
2023-08-05 10:07:36.343867 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26300, Power=0.32517
2023-08-05 10:07:39.241339 Hexa44 Chip 1 Power: On, Voltage=1.22139, Current=0.26039, Power=0.31804
